Medicine_ID,Medicine_Name,Category,Quantity_Issued,Unit_Cost,Supplier,Stock_Status
M038,Medicine38,Tablet,198,496,Supplier19,In Stock
M039,Medicine39,Capsule,330,411,Supplier20,In Stock
M040,Medicine40,Capsule,398,341,Supplier1,In Stock
M041,Medicine41,Syrup,243,302,Supplier2,In Stock
M042,Medicine42,Capsule,155,186,Supplier3,In Stock
M043,Medicine43,Syrup,499,37,Supplier4,In Stock
M044,Medicine44,Tablet,454,354,Supplier5,Low Stock
M045,Medicine45,Syrup,82,342,Supplier6,Low Stock
M046,Medicine46,Tablet,331,464,Supplier7,Low Stock
M047,Medicine47,Capsule,101,354,Supplier8,In Stock
M048,Medicine48,Syrup,175,599,Supplier9,In Stock
M049,Medicine49,Tablet,380,754,Supplier10,In Stock
M050,Medicine50,Capsule,42,969,Supplier11,In Stock
M051,Medicine51,Injection,87,124,Supplier12,In Stock
M052,Medicine52,Injection,57,792,Supplier13,Low Stock
M053,Medicine53,Syrup,183,103,Supplier14,Low Stock
M054,Medicine54,Syrup,394,91,Supplier15,Low Stock
M055,Medicine55,Capsule,289,83,Supplier16,Low Stock
M056,Medicine56,Capsule,365,178,Supplier17,In Stock
M057,Medicine57,Injection,239,182,Supplier18,In Stock
M058,Medicine58,Syrup,126,265,Supplier19,In Stock
M059,Medicine59,Tablet,36,678,Supplier20,In Stock
M060,Medicine60,Capsule,31,63,Supplier1,In Stock
M061,Medicine61,Injection,496,176,Supplier2,In Stock
M062,Medicine62,Syrup,175,416,Supplier3,Low Stock
M063,Medicine63,Tablet,271,803,Supplier4,Low Stock
M064,Medicine64,Capsule,22,705,Supplier5,Low Stock
M065,Medicine65,Tablet,30,224,Supplier6,In Stock
M066,Medicine66,Injection,127,616,Supplier7,Low Stock
M067,Medicine67,Tablet,188,738,Supplier8,In Stock
M068,Medicine68,Syrup,270,940,Supplier9,In Stock
M069,Medicine69,Capsule,118,175,Supplier10,In Stock
M070,Medicine70,Syrup,146,589,Supplier11,Low Stock
M071,Medicine71,Capsule,91,874,Supplier12,In Stock
M072,Medicine72,Syrup,181,220,Supplier13,Low Stock
M073,Medicine73,Syrup,211,142,Supplier14,Low Stock
M074,Medicine74,Capsule,24,476,Supplier15,Low Stock
M075,Medicine75,Injection,104,135,Supplier16,In Stock
M076,Medicine76,Capsule,421,129,Supplier17,In Stock
M077,Medicine77,Injection,398,603,Supplier18,Low Stock
M078,Medicine78,Injection,463,627,Supplier19,Low Stock
M079,Medicine79,Syrup,247,75,Supplier20,In Stock
M080,Medicine80,Syrup,121,543,Supplier1,In Stock
M081,Medicine81,Syrup,16,241,Supplier2,In Stock
M082,Medicine82,Syrup,115,531,Supplier3,Low Stock
M083,Medicine83,Syrup,244,420,Supplier4,In Stock
M084,Medicine84,Capsule,255,594,Supplier5,Low Stock
M085,Medicine85,Injection,49,651,Supplier6,In Stock
M086,Medicine86,Tablet,446,51,Supplier7,In Stock
M087,Medicine87,Tablet,494,300,Supplier8,In Stock
M088,Medicine88,Syrup,237,410,Supplier9,In Stock
M089,Medicine89,Tablet,37,396,Supplier10,In Stock
M090,Medicine90,Injection,226,779,Supplier11,Low Stock
M091,Medicine91,Tablet,153,447,Supplier12,In Stock
M092,Medicine92,Syrup,404,55,Supplier13,In Stock
M093,Medicine93,Syrup,82,289,Supplier14,Low Stock
M094,Medicine94,Injection,71,961,Supplier15,In Stock
M095,Medicine95,Capsule,99,34,Supplier16,In Stock
M096,Medicine96,Tablet,381,260,Supplier17,Low Stock
M097,Medicine97,Syrup,148,43,Supplier18,Low Stock
M098,Medicine98,Tablet,384,728,Supplier19,In Stock
M099,Medicine99,Injection,43,427,Supplier20,Low Stock
M100,Medicine100,Tablet,29,529,Supplier1,Low Stock
M101,Medicine101,Capsule,221,199,Supplier2,In Stock
M102,Medicine102,Tablet,346,84,Supplier3,Low Stock
M103,Medicine103,Syrup,378,510,Supplier4,In Stock
M104,Medicine104,Syrup,22,707,Supplier5,Low Stock
M105,Medicine105,Injection,130,726,Supplier6,Low Stock
M106,Medicine106,Tablet,342,65,Supplier7,Low Stock
M107,Medicine107,Capsule,415,257,Supplier8,In Stock
M108,Medicine108,Syrup,196,110,Supplier9,Low Stock
M109,Medicine109,Capsule,430,503,Supplier10,In Stock
M110,Medicine110,Syrup,347,943,Supplier11,Low Stock
M111,Medicine111,Injection,174,772,Supplier12,Low Stock
M112,Medicine112,Capsule,99,614,Supplier13,Low Stock
M113,Medicine113,Syrup,249,375,Supplier14,Low Stock
M114,Medicine114,Injection,426,708,Supplier15,Low Stock
M115,Medicine115,Capsule,194,462,Supplier16,In Stock
M116,Medicine116,Syrup,463,160,Supplier17,Low Stock
M117,Medicine117,Syrup,340,497,Supplier18,Low Stock
M118,Medicine118,Injection,465,63,Supplier19,Low Stock
M119,Medicine119,Injection,316,369,Supplier20,In Stock
M120,Medicine120,Injection,427,831,Supplier1,In Stock
M121,Medicine121,Capsule,51,863,Supplier2,Low Stock
M122,Medicine122,Tablet,266,577,Supplier3,In Stock
M123,Medicine123,Tablet,304,24,Supplier4,Low Stock
M124,Medicine124,Injection,388,252,Supplier5,Low Stock
M125,Medicine125,Capsule,69,353,Supplier6,Low Stock
M126,Medicine126,Capsule,277,692,Supplier7,Low Stock
M127,Medicine127,Injection,305,379,Supplier8,Low Stock
M128,Medicine128,Tablet,125,675,Supplier9,Low Stock
M129,Medicine129,Injection,437,730,Supplier10,In Stock
M130,Medicine130,Tablet,467,832,Supplier11,In Stock
M131,Medicine131,Capsule,83,957,Supplier12,In Stock
M132,Medicine132,Syrup,133,793,Supplier13,Low Stock
M133,Medicine133,Syrup,432,234,Supplier14,In Stock
M134,Medicine134,Injection,22,36,Supplier15,In Stock
M135,Medicine135,Syrup,71,232,Supplier16,In Stock
M136,Medicine136,Tablet,44,279,Supplier17,Low Stock
M137,Medicine137,Tablet,226,987,Supplier18,Low Stock
M138,Medicine138,Capsule,15,734,Supplier19,Low Stock
M139,Medicine139,Syrup,208,403,Supplier20,In Stock
M140,Medicine140,Syrup,229,654,Supplier1,Low Stock
M141,Medicine141,Tablet,357,523,Supplier2,In Stock
M142,Medicine142,Capsule,173,379,Supplier3,In Stock
M143,Medicine143,Syrup,368,504,Supplier4,Low Stock
M144,Medicine144,Tablet,226,725,Supplier5,Low Stock
M145,Medicine145,Capsule,23,409,Supplier6,In Stock
M146,Medicine146,Capsule,398,947,Supplier7,In Stock
M147,Medicine147,Capsule,139,576,Supplier8,In Stock
M148,Medicine148,Tablet,135,761,Supplier9,In Stock
M149,Medicine149,Capsule,204,787,Supplier10,Low Stock
M150,Medicine150,Injection,319,500,Supplier11,In Stock
M151,Medicine151,Syrup,168,585,Supplier12,Low Stock
M152,Medicine152,Injection,324,440,Supplier13,In Stock
M153,Medicine153,Tablet,360,151,Supplier14,In Stock
M154,Medicine154,Capsule,45,534,Supplier15,In Stock
M155,Medicine155,Capsule,150,733,Supplier16,Low Stock
M156,Medicine156,Tablet,139,619,Supplier17,In Stock
M157,Medicine157,Capsule,99,943,Supplier18,Low Stock
M158,Medicine158,Syrup,447,186,Supplier19,In Stock
M159,Medicine159,Syrup,317,359,Supplier20,Low Stock
M160,Medicine160,Tablet,361,178,Supplier1,In Stock
M161,Medicine161,Injection,256,517,Supplier2,In Stock
M162,Medicine162,Tablet,208,814,Supplier3,In Stock
M163,Medicine163,Capsule,32,329,Supplier4,In Stock
M164,Medicine164,Injection,184,906,Supplier5,Low Stock
M165,Medicine165,Injection,375,475,Supplier6,In Stock
M166,Medicine166,Tablet,94,162,Supplier7,In Stock
M167,Medicine167,Tablet,234,528,Supplier8,Low Stock
M168,Medicine168,Capsule,20,745,Supplier9,Low Stock
M169,Medicine169,Tablet,224,505,Supplier10,In Stock
M170,Medicine170,Syrup,233,590,Supplier11,Low Stock
M171,Medicine171,Tablet,43,109,Supplier12,Low Stock
M172,Medicine172,Syrup,253,430,Supplier13,In Stock
M173,Medicine173,Injection,71,44,Supplier14,In Stock
M174,Medicine174,Tablet,302,211,Supplier15,In Stock
M175,Medicine175,Capsule,347,579,Supplier16,Low Stock
M176,Medicine176,Syrup,254,88,Supplier17,In Stock
M177,Medicine177,Capsule,69,593,Supplier18,In Stock
M178,Medicine178,Injection,113,170,Supplier19,Low Stock
M179,Medicine179,Injection,392,738,Supplier20,Low Stock
M180,Medicine180,Tablet,200,81,Supplier1,In Stock
M181,Medicine181,Tablet,278,701,Supplier2,Low Stock
M182,Medicine182,Tablet,165,921,Supplier3,In Stock
M183,Medicine183,Syrup,481,269,Supplier4,Low Stock
M184,Medicine184,Injection,106,699,Supplier5,Low Stock
M185,Medicine185,Capsule,255,239,Supplier6,In Stock
M186,Medicine186,Injection,208,586,Supplier7,In Stock
M187,Medicine187,Injection,351,150,Supplier8,In Stock
M188,Medicine188,Tablet,254,545,Supplier9,In Stock
M189,Medicine189,Injection,136,661,Supplier10,Low Stock
M190,Medicine190,Syrup,490,250,Supplier11,Low Stock
M191,Medicine191,Capsule,40,790,Supplier12,Low Stock
M192,Medicine192,Tablet,455,348,Supplier13,Low Stock
M193,Medicine193,Tablet,108,707,Supplier14,Low Stock
M194,Medicine194,Capsule,240,640,Supplier15,In Stock
M195,Medicine195,Injection,255,649,Supplier16,Low Stock
M196,Medicine196,Injection,133,633,Supplier17,Low Stock
M197,Medicine197,Capsule,405,96,Supplier18,Low Stock
M198,Medicine198,Tablet,223,87,Supplier19,In Stock
M199,Medicine199,Injection,405,676,Supplier20,In Stock
M200,Medicine200,Syrup,152,422,Supplier1,Low Stock
